scan_index,x_m,y_m,method,strict_pose,coarse_clear,screened_pass,max_speed,max_step,max_acceleration,max_position_error_m,max_rotation_error_rad,joint_limit_ok,max_speed_joint,min_joint_margin_rad,max_original_knot_q_difference_rad
1785,0.72,0.24,selected,True,True,False,25.764986147384246,0.2147082178948687,941.0506004373793,2.275957200481571e-15,1.3571466089653174e-14,True,5,0.5914269724706225,1.13464793116691e-13
1786,0.74,0.24,baseline,True,True,False,22.450754794842116,0.18708962329035095,756.6484893749354,5.639506780706364e-15,3.703670615532056e-14,True,5,0.5435930990136031,2.5224267119483557e-13
1786,0.74,0.24,selected,True,True,False,19.814211967965196,0.16511843306637664,572.7922689090251,5.947729080792496e-15,3.3621052961021114e-14,True,5,0.5005387363245513,3.5571545708990016e-13
1787,0.76,0.24,baseline,True,True,False,22.815054337232645,0.19012545281027204,634.2454603350145,1.1503974603872156e-14,4.77736955385653e-14,True,5,0.44633782325877736,1.56097357262297e-13
1787,0.76,0.24,selected,True,True,False,22.815054337203655,0.19012545281003046,634.2454603349665,2.2463642087712157e-14,1.1006703364123682e-13,True,5,0.27881277384156444,1.438849039914203e-13
1788,0.78,0.24,baseline,True,True,False,40.57836289561289,0.3381530241301074,1424.7926760367889,1.9402417955234224e-14,5.349216674472343e-14,True,5,0.3354064019341738,2.8843594179761567e-13
1788,0.78,0.24,selected,True,True,True,3.1261554360361776,0.02605129530030148,207.03213916135743,3.417477031010632e-14,9.288139448197947e-14,True,2,1.337173865517781,4.2221781626494703e-13
1815,0.6,0.26,baseline,True,True,False,13.913807333878356,0.1159483944489863,411.9362640484056,1.0166121337446528e-14,8.341199568640666e-14,True,5,0.8451141758983485,2.0694557179012918e-13
1815,0.6,0.26,selected,True,True,False,13.913807333879795,0.1159483944489983,411.9362640484056,5.674369320219082e-15,3.478962767645198e-14,True,5,0.3234495449647703,2.402522625288839e-13
1816,0.62,0.26,baseline,True,True,False,25.13766973897951,0.2094805811581626,942.2610382124219,3.7653586653333674e-15,2.553852881686011e-14,True,5,0.9230441435485945,6.394884621840902e-14
1816,0.62,0.26,selected,True,True,False,25.137669738979405,0.2094805811581617,942.2610382126923,2.2761264355043338e-15,1.6125751731396507e-14,True,5,0.9230441435485945,1.0103029524088925e-13
1817,0.64,0.26,baseline,True,True,False,125.72526461740267,1.0477105384783556,9737.368901732047,5.367098749996222e-15,3.613764727627085e-14,True,5,0.9778652174184437,3.141592653589796
